From Sched Date: 06/26/23   To Sched Date: 06/27/23   From Truck:      To Truck: zzzzzzzz   Whs-Code: o   Sort By Load: no   SKU Group: Cabinets   Order Status: To Do Finish In Scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sched Date,Attribute,Truck,Load,Cust#,Order,Line,Item,QT,DP,MR,DA,FI,FO,NH,RW,PL,XS,XR,LD,D2,WI,WO,SI,SO,AS,QI,QO,OrigOrd#,ProdLine,OrderCode,ShipDate,Deliv-Window,Species,Color,InvHold,ShipEntry,ProgressiveWO,FINLINE,PA FF Cart#,PA FF Slot#,KIT Cab,Job/Designer,MODS,,,,,,,,,,,,,,
6/27/2023,Wall,382208,30,3667,3136526,10,W1236/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,WALTERS169/101340,SV,MDF,LC,F,WIC,CLSC,L,,,,,,,,
6/27/2023,Wall,382208,30,3667,3136526,11,21BMW3036B/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,WALTERS169/101340,SV,MDF,LC,F,WIC,LR,CLSC,OCM,,,,,,,
6/27/2023,Base,382208,30,3667,3136526,12,3DB12/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,WALTERS169/101340,SV,MDF,LC,F,WIC,CLSC,EPDL4.5,FFEL,,,,,,,
6/27/2023,Base,382208,30,3667,3136526,13,B27B/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,WALTERS169/101340,SV,MDF,LC,F,WIC,CLSC,FDS,,,,,,,,
6/27/2023,Base,382208,30,3667,3136526,14,B27B/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,WALTERS169/101340,SV,MDF,LC,F,WIC,CLSC,FDS,ESR.75,,,,,,,
6/27/2023,SSusans,382208,30,3667,3136526,15,LDCB36/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,WALTERS169/101340,SV,MDF,LC,F,WIC,CLSC,R,,,,,,,,
6/27/2023,Base,382208,30,3667,3136526,16,TDC12/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,WALTERS169/101340,SV,MDF,LC,F,WIC,CLSC,L,,,,,,,,
6/27/2023,Base,382208,30,3667,3136526,18,B18DWB/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,WALTERS169/101340,SV,MDF,LC,F,WIC,CLSC,,,,,,,,,
6/27/2023,Base,382208,30,3667,3136526,32,3DB33/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,ALD,BISCOTTI,no,?,,,,, ,WALTERS169/101340,SV,ALD,LC,F,BSC,,,,,,,,,,
6/27/2023,Base,382208,30,3667,3136526,33,3DB33/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SV,REG,6/30/2023,07/03/23-07/07/23,ALD,BISCOTTI,no,?,,,,, ,WALTERS169/101340,SV,ALD,LC,F,BSC,,,,,,,,,,
